Sample_ID;LATf;LONGf;Reference;LATi;LONGi;SiO2;MgO;TiO2;Al2O3;Fe2O3t;MnO;CaO;Na2O;K2O;P2O5;LOI;Fe2O3;FeO;Ba;Rb;Sr;Itrio;Zr;Ti
COPACOL 180-190;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.56;4.22;2.51;12.35;16.07;0.23;8.36;2.73;1.67;0.29;0.8;;;368;43.5;283.7;37.6;182.2;15047.7261
COPACOL 190-198;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.27;4.39;2.45;12.3;16.2;0.23;8.53;2.87;1.46;0.3;0.72;;;365;34.3;289.7;35.7;185.6;14688.0195
COPACOL 198-204;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.69;4.5;2.43;12.47;16.17;0.24;8.7;3.01;1.48;0.3;1.05;;;369;29.7;286.4;35.7;181.9;14568.1173
COPACOL 204-214;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.71;4.92;2.25;12.87;15.49;0.22;8.78;3.15;1.34;0.26;1.44;;;353;28;297;32.9;157.9;13488.9975
COPACOL 214-222;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.97;5.03;2.22;12.89;15.2;0.22;9.01;3.17;1.03;0.26;1.23;;;319;21.2;301.2;31.2;156;13309.1442
COPACOL 222-230;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.82;5;2.24;13.06;15.02;0.21;8.83;3.52;1.03;0.27;1.78;;;343;18.3;308.8;32.8;162.9;13429.0464
COPACOL 230-238;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.76;4.94;2.22;12.98;15.13;0.21;9.05;3.3;1.15;0.26;1.39;;;358;15.7;298.4;31;153.6;13309.1442
COPACOL 238-248;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.38;5.03;2.18;12.92;14.66;0.22;9.24;2.74;1.38;0.25;0.7;;;336;27.5;296.8;31.7;154.2;13069.3398
COPACOL 248-256;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.01;5.15;2.2;12.94;14.8;0.22;9.29;2.79;1.34;0.25;0.91;;;345;28.1;304.3;31.2;159;13189.242
COPACOL 256-264;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.76;5.1;2.25;13.01;14.86;0.21;9.1;3.02;1.43;0.26;1.29;;;337;28;296.6;31.1;156.3;13488.9975
COPACOL 264-270;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.22;5.16;2.38;13.13;15.98;0.23;8.9;3.52;1.2;0.29;2.74;;;279;13.7;290.2;32.8;161.8;14268.3618
COPACOL 270-280;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.38;5.33;2.47;13.04;16.09;0.23;8.77;3.38;1.02;0.28;2.22;;;269;12.5;304.3;34.5;166.2;14807.9217
COPACOL 280-290;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.59;5.34;2.44;12.94;16.05;0.23;9.23;3.06;0.84;0.27;1.09;;;308;14.7;307.3;37.8;166.1;14628.0684
COPACOL 290-298;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.88;5.48;2.19;12.94;14.8;0.21;8.8;3.57;0.89;0.26;3.02;;;280;12.5;280;30.1;141.6;13129.2909
COPACOL 298-308;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.71;6.24;2.14;13.33;14.49;0.22;10.14;2.81;0.69;0.22;1.51;;;286;8.9;298.5;29.5;135.6;12829.5354
COPACOL 308-318;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.96;6.01;2.1;13.4;14.55;0.22;9.89;2.56;1.07;0.23;1.09;;;280;21.2;293.3;30.4;136.7;12589.731
COPACOL 318-328;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.87;6.17;2.1;13.25;14.54;0.21;10.17;2.47;0.99;0.22;0.76;;;273;15.1;292.2;29.3;133.9;12589.731
COPACOL 328-338;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.75;5.79;1.87;13.23;13.83;0.2;9.55;3.58;0.99;0.2;2.7;;;254;15.5;269;26.7;126;11210.8557
COPACOL 338-348;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.46;6.18;1.85;13.6;13.47;0.19;9.99;3.3;0.77;0.19;2.45;;;236;10.7;304.9;24;115.8;11090.9535
COPACOL 348-356;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.81;6.41;1.85;13.67;13.55;0.21;10.87;2.68;0.77;0.18;1.49;;;255;13.1;323.6;22.6;108;11090.9535
COPACOL 356-362;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.12;6.34;1.81;13.57;13.31;0.2;10.8;2.72;0.94;0.18;1.87;;;257;16.2;327.2;21.4;112.8;10851.1491
COPACOL 362-370;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.29;6.15;1.87;13.7;13.35;0.2;10.53;2.84;0.87;0.2;1.76;;;237;14.4;327.4;22.3;112.9;11210.8557
COPACOL 370-378;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.16;6.01;1.84;13.83;13.65;0.2;10.14;3.1;0.85;0.2;2.06;;;237;14.4;326.4;23.1;113.4;11031.0024
COPACOL 378-384;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.49;5.32;2.19;13.37;15.02;0.22;8.49;3.65;0.99;0.25;2.52;;;230;16.5;312.6;26.4;143.5;13129.2909
COPACOL 384-392;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.43;5.53;2.22;13.36;14.69;0.21;9.87;2.6;0.84;0.24;2.16;;;370;24.3;384.5;27.2;145;13309.1442
COPACOL 392-400;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.46;5.37;2.15;13.25;14.96;0.22;9.97;2.69;0.67;0.24;1.84;;;298;17;374.4;28.3;150.3;12889.4865
COPACOL 400-408;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.41;5.6;2.18;13.34;14.51;0.22;9.55;3.11;0.82;0.24;2.33;;;323;21.2;341.6;27.4;145.5;13069.3398
COPACOL 40-46;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.79;5.75;2.27;12.97;15.3;0.24;10.27;2.35;0.83;0.22;1.92;;;276;14.2;277.2;31.7;156;13608.8997
COPACOL 420-428;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.45;6.25;2.07;13.64;13.76;0.21;10.84;2.56;1.02;0.21;1.49;;;304;18.2;379.8;24.3;132.2;12409.8777
COPACOL 428-436;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.8;6.25;2.01;13.68;13.44;0.2;10.36;2.82;1.21;0.22;1.83;;;302;27;365.5;23.2;135.3;12050.1711
COPACOL 436-446;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.08;5.48;2.22;13.34;14.32;0.2;9.66;3.37;1.08;0.26;2.43;;;302;20.9;338.4;24.7;142.9;13309.1442
COPACOL 446-456;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.72;5.74;2.31;13.22;14.59;0.2;10.09;2.79;1.1;0.23;1.34;;;330;21;383.4;27.8;151.3;13848.7041
COPACOL 456-466;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.76;5.72;2.31;13.15;14.74;0.21;10.2;2.5;1.15;0.24;1.11;;;331;24.1;381.3;26.2;151;13848.7041
COPACOL 46-54;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.37;5.85;2.24;12.47;15.06;0.23;10.09;2.24;1.24;0.21;1.49;;;271;31.6;249.7;29.3;146.4;13429.0464
COPACOL 466-476;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.82;5.79;2.27;13.3;14.41;0.21;9.96;2.82;1.15;0.25;1.4;;;335;28.1;379.8;27.5;147.3;13608.8997
COPACOL 476-488;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.78;5.56;2.25;13.48;14.22;0.21;9.71;3.52;1.02;0.24;2.25;;;336;21.2;374.4;26.1;149.8;13488.9975
COPACOL 488-498;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.55;5.67;2.43;13.32;14.46;0.21;10.18;2.85;1.09;0.25;1.41;;;339;20.7;403.2;25.7;151.3;14568.1173
COPACOL 496-502;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.77;5.75;2.27;13.32;14.43;0.2;10.1;2.83;1.09;0.24;1.24;;;317;21.3;393;26.5;147.7;13608.8997
COPACOL 502-510;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.26;5;2.01;13.23;13.34;0.2;8.63;4.03;1.08;0.22;2.44;;;265;21;297.9;24.7;133.1;12050.1711
COPACOL 510-520;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.95;5.89;2.06;13.4;14.34;0.2;10.41;2.59;0.93;0.22;1.45;;;299;17.4;355.7;25.9;130.7;12349.9266
COPACOL 520-528;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.88;6.05;2.11;13.43;14.09;0.2;10.66;2.49;0.85;0.22;1.52;;;296;20.7;395.7;25.7;132.6;12649.6821
COPACOL 528-534;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.56;5.58;2.07;13.29;14.21;0.21;9.94;2.97;0.95;0.23;1.31;;;543;21.7;340.2;27.3;130.9;12409.8777
COPACOL 534-542;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.38;5.58;1.98;13.33;14.52;0.2;9.92;2.98;0.88;0.22;1.25;;;452;18;329.8;28.5;134.6;11870.3178
COPACOL 542-552;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.9;5.83;1.99;13.31;14.56;0.2;10.28;2.62;1.1;0.22;1.41;;;268;21.2;309.8;25.7;118.3;11930.2689
COPACOL 54-62;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.38;6.16;2.29;12.08;15.06;0.24;10.32;2.38;0.92;0.17;1.46;;;209;19;237.3;26.5;129.5;13728.8019
COPACOL 552-562;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.27;5.69;2.02;13.33;14.45;0.2;10.11;2.61;1.1;0.22;1.1;;;300;23.7;321.3;26.5;129.2;12110.1222
COPACOL 562-572;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.95;5.66;2.18;13.27;14.57;0.21;10.01;2.89;1.02;0.23;1.95;;;318;21.6;334.4;26.3;137.6;13069.3398
COPACOL 572-582;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.69;5.49;2.28;13.18;15.06;0.22;9.77;3.08;0.98;0.26;2.26;;;286;25.5;354;27.7;149.3;13668.8508
COPACOL 592-600;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.7;5.07;2.35;13.3;14.9;0.2;8.96;4.29;0.96;0.27;3.17;;;241;22.7;351.5;28.9;153;14088.5085
COPACOL 600-610;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.08;4.92;2.5;13.25;15.12;0.22;9.14;3.39;1.05;0.34;2.12;;;304;21.3;350.9;31.1;169.7;14987.775
COPACOL 610-618;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.32;4.5;2.85;13.02;15.35;0.21;8.36;3.62;1.33;0.44;2.21;;;368;23.9;364.4;36;201.8;17086.0635
COPACOL 618-628;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.39;4.67;2.66;13.17;14.64;0.24;9.15;3.49;1.2;0.39;2.12;;;329;23;427.6;32.7;182.2;15946.9926
COPACOL 62-68;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;53.66;4.57;2.13;12.16;14.39;0.21;8.41;2.86;1.37;0.23;2.3;;;263;20.7;252.9;28.8;159.9;12769.5843
COPACOL 628-640;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.03;5.29;2.44;13.25;14.6;0.21;9.78;2.98;1.1;0.31;1.8;;;307;24.4;399.8;29.6;160;14628.0684
COPACOL 640-650;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.08;4.88;2.75;13.26;14.89;0.22;9.05;3.33;1.09;0.45;1.24;;;341;22.2;388.7;34.1;204;16486.5525
COPACOL 650-660;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.95;4.45;2.9;12.88;15.65;0.24;9.11;3.07;1.16;0.58;1.64;;;390;31.9;378.4;36.4;207.5;17385.819
COPACOL 660-670;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.54;4.56;2.84;12.79;15.41;0.23;9.07;2.64;1.4;0.53;1.49;;;392;32.9;356.8;35.7;199.9;17026.1124
COPACOL 670-680;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.75;4.97;2.87;12.94;15.54;0.22;9.18;2.69;1.35;0.49;1.42;;;395;29.2;361.7;35.7;198.4;17205.9657
COPACOL 680-692;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.66;4.2;2.73;13;13.74;0.21;7.77;3.73;1.55;0.41;0.88;;;412;26.5;383.8;36.2;258.3;16366.6503
COPACOL 692-702;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;57.97;3.67;2.47;11.64;12.08;0.18;6.94;2.99;1.68;0.38;0.8;;;433;27.8;381.1;35.8;252.8;14807.9217
COPACOL 702-712;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.81;4.45;2.66;12.94;13.52;0.21;7.97;3.33;1.75;0.35;0.84;;;539;38;403.6;36.8;268.1;15946.9926
COPACOL 712-722;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;53.04;4.36;2.71;12.75;13.84;0.21;7.9;3.03;1.78;0.38;0.97;;;446;39.6;392.6;35.8;272;16246.7481
COPACOL 722-732;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.6;3.9;3.42;12.6;14.99;0.22;7.74;3.2;1.75;0.57;1.06;;;507;32.1;410;40.1;286.9;20503.2762
COPACOL 732-742;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.06;3.76;3.21;12.47;14.81;0.22;7.79;3.35;1.76;0.56;1.39;;;559;23;422.4;38.9;266;19244.3031
COPACOL 742-752;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.18;3.45;3.52;12.33;15.45;0.22;7.41;2.92;1.81;0.71;1.37;;;586;26.4;445.4;45.4;317.4;21102.7872
COPACOL 74-78;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;48.47;4.86;3.05;12.42;17.76;0.24;9.13;3.15;0.64;0.26;2.07;;;262;6.9;268.8;35;171.5;18285.0855
COPACOL 752-760;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.48;3.57;3.53;12.18;15.71;0.24;7.66;2.98;1.96;0.7;1.32;;;571;29.8;451.5;44.3;312.3;21162.7383
COPACOL 760-772;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.02;3.94;3.53;12.73;15.82;0.23;7.43;4.04;1.64;0.61;1.67;;;476;22.8;413.5;41.4;286.5;21162.7383
COPACOL 772-782;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.02;3.4;3.62;12.72;15.21;0.24;6.67;4.86;1.54;0.72;1.92;;;365;26.1;343.3;42.3;266;21702.2982
COPACOL 782-792;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.13;3.4;3.52;13.09;15.28;0.22;7.6;4.8;1.32;0.65;1.83;;;346;26.8;365.6;40.5;256.8;21102.7872
COPACOL 78-86;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.52;4.57;2.85;12.57;17.87;0.29;8.01;2.16;0.93;0.23;2.19;;;349;11.7;230.2;37.6;176.7;17086.0635
COPACOL 792-802;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;49.73;4.1;3.63;12.52;16.31;0.26;7.92;3.48;1.52;0.53;1.55;;;393;28.5;413.8;34.8;247.2;21762.2493
COPACOL 802-812;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.51;4.69;3.47;12.13;15.76;0.24;8.2;2.94;1.45;0.61;1.34;;;453;27.9;445.1;35.9;251.2;20803.0317
COPACOL 812-822;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.63;4.2;3.61;12.52;15.38;0.24;7.9;3.23;1.62;0.66;1.08;;;466;33.9;454.1;37.8;258.4;21642.3471
COPACOL 822-832;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.2;4.03;3.32;12.83;14.91;0.21;7.58;3.71;1.75;0.45;1.13;;;438;35.5;427.5;34.3;258.7;19903.7652
COPACOL 832-842;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.18;4.32;3.39;12.67;15.71;0.22;8.2;3.37;1.53;0.42;1.11;;;417;30;443.1;30.7;242.6;20323.4229
COPACOL 842-852;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.98;3.92;3.26;12.74;14.83;0.21;7.63;3.25;1.75;0.43;1.09;;;450;35.6;433.1;34.7;278.7;19544.0586
COPACOL 852-862;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.54;4.45;3.27;12.35;15.25;0.21;8.05;2.85;1.61;0.42;1.1;;;462;33.3;444.3;33.4;263;19604.0097
COPACOL 862-872;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.7;4.72;3.35;12.42;15.51;0.21;8.41;2.79;1.5;0.4;1.04;;;438;29.7;442.3;31.6;246;20083.6185
COPACOL 86-94;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;48.24;5.28;3.47;10.93;19.2;0.28;8.97;2.28;1.14;0.22;0.67;;;287;21.4;226.4;32.3;174.9;20803.0317
COPACOL 872-882;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.72;4.48;3.38;12.62;15.43;0.22;8.47;2.8;1.48;0.4;0.88;;;448;26.8;454.5;30.7;246.3;20263.4718
COPACOL 882-892;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.5;4.46;3.37;12.62;15.69;0.21;8.43;2.83;1.47;0.41;0.89;;;443;25.4;457.2;31.3;247.7;20203.5207
COPACOL 892-902;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.73;3.75;3.26;12.61;14.46;0.2;7.44;3.35;1.74;0.46;1.18;;;776;23.3;438.4;33;261.2;19544.0586
COPACOL 902-912;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.11;3.8;3.39;12.85;14.76;0.2;7.59;3.19;1.62;0.48;1.26;;;494;25.2;468.2;34.9;272.1;20323.4229
COPACOL 912-922;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.45;3.88;3.53;12.59;15.55;0.21;7.8;2.87;1.66;0.47;1.85;;;496;33.3;471.4;35.3;282.9;21162.7383
COPACOL 922-928;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.17;4.22;3.45;12.82;15.19;0.21;8.15;2.8;1.53;0.45;1.85;;;468;29.2;493.6;33.1;258.5;20683.1295
COPACOL 928-938;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.54;3.97;3.52;12.51;15.41;0.22;7.97;2.81;1.59;0.46;1.5;;;478;33.4;473.4;35.1;271.9;21102.7872
COPACOL 938-946;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.24;4.62;2.74;12.99;14.82;0.22;8.29;3.42;1.33;0.33;1.58;;;333;24.1;381.2;28.9;206.3;16426.6014
COPACOL 94-100;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;52.53;4.69;2.43;11.9;15.74;0.23;8.59;2.43;1.21;0.25;1.33;;;338;23.6;256.7;36;173.1;14568.1173
COPACOL 946-954;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.66;4.94;2.73;13.01;15.18;0.21;8.87;2.97;1.13;0.3;1.32;;;376;22.4;403.4;29.1;190.2;16366.6503
COPACOL 954-960;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.31;4.97;2.69;12.88;15.25;0.21;9.39;2.89;1.12;0.29;1.55;;;380;20.8;414.1;27.2;188.5;16126.8459
COPACOL 960-968;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.48;4.72;2.76;13.04;15.06;0.21;8.99;3.17;1.24;0.34;1.66;;;340;23.3;383;28.5;196.2;16546.5036
COPACOL 968-978;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.19;4.35;2.78;12.62;14.94;0.2;8.67;3.43;1.5;0.32;1.91;;;330;25.9;377.7;30;207.4;16666.4058
COPACOL 978-986;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;51.63;4.06;2.85;12.56;14.67;0.21;8.36;3.71;1.61;0.34;2.02;;;351;24.9;347.7;28.2;213.2;17086.0635
COPACOL 986-992;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.19;4.28;3.34;12.74;15.6;0.21;7.92;4.04;1.26;0.42;1.71;;;360;21;359.8;33.3;243.3;20023.6674
COPACOL 992-1002;-24.632724;-53.329669;Licht, 2018 (Mineropar);;;50.03;4.46;3.19;12.73;15.86;0.23;8.15;3.67;1.29;0.4;1.61;;;349;22.2;355.2;31;233.4;19124.4009
EA-0156;-24.41055;-52.09659;Licht, 2018 (Mineropar);;;49.56;6.61;2.01;13.62;14.33;0.2;10.74;2.21;0.5;0.22;3.1;;;259;11.5;424;24.4;132.8;12050.1711
EA-0159;-24.4101;-52.21726;Licht, 2018 (Mineropar);;;50.63;5.97;2.14;13.3;14.65;0.22;9.5;2.2;1.16;0.22;1.16;;;256;34.6;254;31.9;143.6;12829.5354
EA-0160a;-24.43328;-52.22486;Licht, 2018 (Mineropar);;;50.78;5.22;2.4;12.85;15.87;0.24;9.24;2.45;0.68;0.28;2.1;;;303;25.4;313;35;170.1;14388.264
EA-0166;-24.56702;-52.27527;Licht, 2018 (Mineropar);;;50.85;5.39;2.16;12.79;15.62;0.23;9.81;2.27;0.64;0.23;2.34;;;256;11.7;267;32.3;153.1;12949.4376
EA-0210;-24.1153;-51.79286;Licht, 2018 (Mineropar);;;50.29;4.44;3.74;12.69;15.7;0.22;8.15;2.63;1.58;0.57;1.45;;;503;38.4;469;37.7;252.7;22421.7114
EA-0213;-24.1828;-51.69869;Licht, 2018 (Mineropar);;;49.23;6.15;2.49;13.46;14.76;0.21;9.86;2.4;1.12;0.31;1.96;;;314;23.5;376;28.9;154.7;14927.8239
EA-0220;-24.07517;-51.47095;Licht, 2018 (Mineropar);;;50.66;4.47;3.6;12.79;15.14;0.23;8.38;2.79;1.41;0.54;1.66;;;446;29.7;497;34;229.2;21582.396
EA-0221;-24.10818;-51.47612;Licht, 2018 (Mineropar);;;54.12;4.73;1.48;13.71;12.91;0.18;7.91;3.22;1.55;0.18;0.6;;;310;53.8;227;31.5;152.5;8872.7628
EA-0226;-24.04161;-51.32515;Licht, 2018 (Mineropar);;;50.6;4.99;2.65;12.6;16.56;0.24;8.91;2.09;1.07;0.29;0.81;;;302;21.5;274;37.4;198.4;15887.0415
EA-0237;-24.52104;-51.45767;Licht, 2018 (Mineropar);;;50.46;3.51;3.67;13.56;15.43;0.21;8.32;2.89;1.46;0.49;0.85;;;490;30.5;538;34.4;247.7;22002.0537
EA-0238;-24.48909;-51.5247;Licht, 2018 (Mineropar);;;52;4.38;3.88;13.06;13.41;0.15;7.36;3.19;2.02;0.54;1.28;;;589;41.8;775;34.2;311.9;23261.0268
EA-0246;-24.39276;-51.54979;Licht, 2018 (Mineropar);;;49.94;4.42;4.1;12.57;15.92;0.24;8.39;2.61;1.3;0.53;2.1;;;548;22.5;498;35.7;276.6;24579.951
EA-0269a;-24.75173;-51.75302;Licht, 2018 (Mineropar);;;49.95;6.09;2.05;13.56;14.4;0.21;10.16;2.37;0.96;0.25;1.01;;;303;16;375;26.4;136.8;12289.9755
EA-0281;-24.7369;-51.9177;Licht, 2018 (Mineropar);;;49.83;6.45;2.11;13.46;14.42;0.21;10.39;2.24;0.66;0.22;1.68;;;286;6.4;291;35.6;144.6;12649.6821
EA-0288;-24.78584;-51.80677;Licht, 2018 (Mineropar);;;50.44;6.41;2.06;13.99;12.75;0.22;10.55;2.37;0.98;0.22;1.32;;;309;19.7;399;24.7;136.5;12349.9266
EA-0298;-24.91739;-51.87099;Licht, 2018 (Mineropar);;;50.21;6.48;2.02;13.88;13.27;0.19;10.48;2.34;0.9;0.22;1.34;;;296;17.6;367;23.8;136.9;12110.1222
EA-0313;-26.49385;-51.91129;Licht, 2018 (Mineropar);;;70.96;0.65;0.78;12.27;5.54;0.17;1.8;2.68;4.94;0.2;1.04;;;813;168.3;94;47.4;310.2;4676.1858
EA-0316;-26.40622;-52.06648;Licht, 2018 (Mineropar);;;49.75;4.86;3.57;12.8;15.64;0.24;8.57;2.64;1.42;0.51;0.92;;;436;32.4;456;36.4;213;21402.5427
EA-0317;-26.35886;-52.10496;Licht, 2018 (Mineropar);;;70.2;0.75;0.76;12.49;5.69;0.1;2.18;2.89;4.73;0.21;1.14;;;722;181.7;108;51.7;309.5;4556.2836
EA-0320;-26.31378;-52.13117;Licht, 2018 (Mineropar);;;70.26;0.55;0.78;12.46;6.03;0.07;1.78;2.59;5.28;0.21;2.04;;;771;161.9;93;70.7;337.5;4676.1858
EA-0324;-26.05425;-52.20675;Licht, 2018 (Mineropar);;;64.02;1.5;1.49;13.33;7.89;0.16;3.36;3.8;3.99;0.47;0.7;;;990;86;372;57.9;620.5;8932.7139
EA-0339;-26.47921;-52.06438;Licht, 2018 (Mineropar);;;69.71;0.76;0.77;12.68;5.86;0.1;2.18;2.85;4.88;0.21;1.21;;;700;188.7;102;50.6;311.7;4616.2347
EA-0344;-26.38786;-52.44714;Licht, 2018 (Mineropar);;;50.2;4.77;3.22;13.02;15.22;0.24;9.1;2.51;1.32;0.39;3.4;;;427;21.3;447;32.5;217;19304.2542
EA-0351a;-26.29769;-52.38919;Licht, 2018 (Mineropar);;;71.03;0.6;0.7;12.05;5.62;0.11;1.92;2.72;5.03;0.21;0.88;;;761;168.2;94;49.7;313.5;4196.577
EA-0351b;-26.29769;-52.38919;Licht, 2018 (Mineropar);;;71.36;0.57;0.76;12.29;5.22;0.07;1.62;2.73;5.18;0.2;1.13;;;724;171.7;82;76.2;322.6;4556.2836
EA-0361;-26.07282;-52.13016;Licht, 2018 (Mineropar);;;71.41;0.73;0.71;11.94;5.81;0.09;2.04;2.79;4.28;0.2;1.17;;;789;161.9;97;79.9;301.5;4256.5281
EA-0362;-26.06592;-52.11147;Licht, 2018 (Mineropar);;;70.27;0.59;0.8;12.29;5.91;0.09;2.02;2.77;5.04;0.21;0.62;;;649;149;93;50;295.1;4796.088
EA-0378;-26.04597;-52.0581;Licht, 2018 (Mineropar);;;72.08;0.36;0.76;12.35;5.26;0.06;1.52;2.62;4.79;0.2;1.69;;;702;177;94;50.5;307;4556.2836
EA-0392;-25.94442;-52.11109;Licht, 2018 (Mineropar);;;74.1;0.28;0.75;10.77;5.75;0.1;1.26;2.26;4.54;0.18;1.27;;;738;178.1;87;52;307.7;4496.3325
EA-0430;-26.5339;-51.77705;Licht, 2018 (Mineropar);;;72.05;0.41;0.8;11.9;5.7;0.04;1.54;2.52;4.82;0.21;1.56;;;675;168.7;89;92;391.2;4796.088
EA-0437a;-26.56815;-51.91841;Licht, 2018 (Mineropar);;;60.65;1.29;1.91;12.06;12.48;0.15;4.29;3.16;3.25;0.76;1.43;;;938;90.3;442;58.1;458.6;11450.6601
EA-0440;-26.58287;-51.64039;Licht, 2018 (Mineropar);;;69.78;0.72;0.77;12.55;5.95;0.11;2.32;2.69;4.88;0.21;2.24;;;683;182.3;103;51.8;317.4;4616.2347
EA-0450;-26.53305;-51.3747;Licht, 2018 (Mineropar);;;50.35;6.03;1.44;14.24;14.29;0.23;10.46;2.4;0.41;0.15;1.79;;;164;5.1;201;27.6;105.8;8632.9584
EA-0454;-26.56004;-51.66296;Licht, 2018 (Mineropar);;;71.39;0.58;0.77;11.86;6;0.07;1.57;2.47;5.09;0.19;1.48;;;694;157.5;93;57;318.5;4616.2347
